src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label_Multi,Label_Binary,Attack_Type
192.168.159.139,10.0.0.6,57114,80,6,2025-07-14 04:39:26,21.003556,13.807185792729577,0.1904439419686837,0.1428329564765128,0.0476109854921709,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001185333333333,20.001421,0.0,9.201654350575964,1.002135,1.002135,0.0,0.5010675,0.5010675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,35252,80,6,2025-07-14 04:39:29,21.005008,13.806231352066137,0.1904307772698777,0.1428230829524083,0.0476076943174694,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001669333333333,19.97549,0.0,9.183499472648444,1.029518,1.029518,0.0,0.514759,0.514759,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,58182,80,6,2025-07-14 04:39:45,21.004293,13.806701325295736,0.1904372596592515,0.1428279447444386,0.0476093149148128,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001431,19.979643,0.0,9.186510652158525,1.02465,1.02465,0.0,0.512325,0.512325,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,58196,80,6,2025-07-14 04:39:48,21.003419,13.807275853516993,0.1904451841864412,0.1428338881398309,0.0476112960466103,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001139666666667,19.993682,0.0,9.196358316017864,1.009737,1.009737,0.0,0.5048685,0.5048685,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,36984,80,6,2025-07-14 04:39:50,21.003986,13.806903127815836,0.1904400431422873,0.1428300323567155,0.0476100107855718,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001328666666667,19.991775,0.0,9.194923045954594,1.012211,1.012211,0.0,0.5061055,0.5061055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,36996,80,6,2025-07-14 04:39:53,21.00398,13.806907071897804,0.1904400975434179,0.1428300731575635,0.0476100243858544,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.0013266666666665,19.995105,0.0,9.197215655594118,1.008875,1.008875,0.0,0.5044375,0.5044375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,36998,80,6,2025-07-14 04:39:55,21.004077,13.806843309515576,0.1904392180622838,0.1428294135467128,0.0476098045155709,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001359,19.989079,0.0,9.193048400242471,1.014998,1.014998,0.0,0.507499,0.507499,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,37008,80,6,2025-07-14 04:39:58,21.007854,13.804360978517844,0.1904049790140392,0.1428037342605294,0.0476012447535098,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.002618000000001,20.004715,0.0,9.202987441093498,1.003139,1.003139,0.0,0.5015695,0.5015695,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,55330,80,6,2025-07-14 04:40:01,21.005388,13.805981589104665,0.1904273322635125,0.1428204991976344,0.0476068330658781,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001796,19.979247,0.0,9.186000841172072,1.026141,1.026141,0.0,0.5130705,0.5130705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
192.168.159.139,10.0.0.6,55332,80,6,2025-07-14 04:40:04,21.004285,13.806706583918473,0.1904373321919789,0.1428279991439842,0.0476093330479947,3,1,228,62,76,76,76.0,0.0,62,62,62.0,0.0,76,62,72.5,6.06217782649107,36.75,60,20,20,0,7.001428333333333,19.969783,0.0,9.179731864905508,1.034502,1.034502,0.0,0.517251,0.517251,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,72.5,42340,64240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,62.0,0,3,1,228,62,5,1,ad_udp
