src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label_multi,Label_binary,Attack_Type
192.168.10.10,192.168.30.10,49640,80,6,2025-09-19 10:07:42,0.001288,2678571.428571428,19409.93788819876,10093.167701863353,9316.770186335403,13,12,1312,2138,270,68,100.92307692307692,72.1690979452068,537,68,178.16666666666666,173.7147246365591,537,68,138.0,136.68386883608468,18682.48,260,240,20,2,5.366666666666667e-05,0.000556,0.0,0.0001349505053302,0.001269,0.000611,0.0,0.00010575,0.0001996192730341,0.0012439999999999,0.000556,2e-06,0.0001130909090909,0.0001893421407954,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.0,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,16325000.0,100.92307692307692,178.16666666666666,0,13,12,1312,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49652,80,6,2025-09-19 10:07:42,0.001249,2765412.3298638915,20016.0128102482,10408.326661329063,9607.686148919136,13,12,1316,2138,272,68,101.23076923076924,72.88996327041284,537,68,178.16666666666666,173.7147246365591,537,68,138.16,136.83937445048485,18725.0144,260,240,20,2,5.2041666666666674e-05,0.000579,0.0,0.0001375313537484,0.001231,0.000626,0.0,0.0001025833333333,0.0002003823255401,0.0012209999999999,0.000579,2e-06,0.000111,0.0001926740063611,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.16,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,17648648.64864865,101.23076923076924,178.16666666666666,0,13,12,1316,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49660,80,6,2025-09-19 10:07:42,0.000993,3516616.314199396,25176.233635448138,13091.641490433032,12084.592145015104,13,12,1354,2138,291,68,104.15384615384616,79.73884889856788,537,68,178.16666666666666,173.7147246365591,537,68,139.68,138.4140802086262,19158.4576,260,240,20,2,4.1375e-05,0.000427,0.0,0.0001047941682935,0.000977,0.000473,0.0,8.141666666666666e-05,0.000155097527561,0.000971,0.000427,2e-06,8.827272727272728e-05,0.0001470856836918,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.68,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20092307.69230769,104.15384615384616,178.16666666666666,0,13,12,1354,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49666,80,6,2025-09-19 10:07:42,0.001078,3165120.5936920224,23191.094619666048,12059.369202226346,11131.725417439704,13,12,1274,2138,251,68,98.0,65.3216891768965,537,68,178.16666666666666,173.7147246365591,537,68,136.48,135.3062068051573,18307.7696,260,240,20,2,4.491666666666666e-05,0.000415,0.0,0.0001103482807095,0.001061,0.000464,0.0,8.841666666666666e-05,0.0001626573383595,0.001049,0.000424,2e-06,9.53636363636364e-05,0.000155261230147,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,136.48,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,18657142.857142854,98.0,178.16666666666666,0,13,12,1274,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49670,80,6,2025-09-19 10:07:42,0.001037,6003857.280617165,27965.28447444552,14464.802314368371,13500.482160077148,15,14,3870,2356,1231,68,258.0,390.6259933320703,565,68,168.28571428571428,175.45102229536823,1231,68,214.68965517241375,309.5088549174238,95795.73127229488,300,280,20,4,3.703571428571428e-05,0.000377,0.0,9.411409570411906e-05,0.00102,0.000415,0.0,7.285714285714286e-05,0.0001402043697825,0.001007,0.0004,2e-06,7.746153846153846e-05,0.0001334146891835,4,4,0,0,4,5,0,8,26,0,0,0.9333333333333332,214.68965517241375,42340,43440,0,0,0,0,0,0,0,0,2826.0,4.0,1388.0,4.0,97448275.86206897,20115942.028985508,258.0,168.28571428571428,0,15,14,3870,2356,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49680,80,6,2025-09-19 10:07:42,0.000989,3492416.582406471,25278.05864509605,13144.59049544995,12133.468149646107,13,12,1316,2138,272,68,101.23076923076924,72.88996327041284,537,68,178.16666666666666,173.7147246365591,537,68,138.16,136.83937445048485,18725.0144,260,240,20,2,4.120833333333334e-05,0.000388,0.0,0.0001043898858313,0.000973,0.000433,0.0,8.108333333333333e-05,0.0001535510003947,0.000969,0.000405,1e-06,8.80909090909091e-05,0.0001470389277742,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.16,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20406250.0,101.23076923076924,178.16666666666666,0,13,12,1316,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49686,80,6,2025-09-19 10:07:43,0.000878,3929384.9658314353,28473.80410022779,14806.37813211845,13667.42596810934,13,12,1312,2138,270,68,100.92307692307692,72.1690979452068,537,68,178.16666666666666,173.7147246365591,537,68,138.0,136.68386883608468,18682.48,260,240,20,2,3.658333333333334e-05,0.00035,0.0,9.00008873413047e-05,0.000862,0.000379,0.0,7.183333333333334e-05,0.0001335719739399,0.000859,0.000373,2e-06,7.80909090909091e-05,0.0001277685795387,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.0,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20730158.730158728,100.92307692307692,178.16666666666666,0,13,12,1312,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49696,80,6,2025-09-19 10:07:43,0.000898,3888641.425389755,27839.643652561244,14476.614699331849,13363.028953229395,13,12,1354,2138,291,68,104.15384615384616,79.73884889856788,537,68,178.16666666666666,173.7147246365591,537,68,139.68,138.4140802086262,19158.4576,260,240,20,2,3.741666666666666e-05,0.000349,0.0,9.220263764605053e-05,0.000882,0.00038,0.0,7.350000000000001e-05,0.0001374314980878,0.000878,0.000372,2e-06,7.981818181818182e-05,0.0001305831801655,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.68,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20092307.69230769,104.15384615384616,178.16666666666666,0,13,12,1354,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49712,80,6,2025-09-19 10:07:43,0.000865,3990751.445086705,28901.73410404624,15028.901734104047,13872.832369942196,13,12,1314,2138,271,68,101.07692307692308,72.52952877538016,537,68,178.16666666666666,173.7147246365591,537,68,138.08,136.7613746640476,18703.6736,260,240,20,2,3.604166666666666e-05,0.000335,0.0,8.798507409719498e-05,0.000849,0.000364,0.0,7.075e-05,0.0001306892784431,0.0008439999999999,0.000358,1e-06,7.672727272727273e-05,0.0001248832843528,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.08,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20092307.69230769,101.07692307692308,178.16666666666666,0,13,12,1314,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,49716,80,6,2025-09-19 10:07:43,0.000799,9872340.425531914,36295.36921151439,18773.466833541926,17521.902377972467,15,14,5532,2356,2062,68,368.8,669.3307304066253,565,68,168.28571428571428,175.45102229536823,2062,68,272.0,506.58300882243,256626.3448275862,300,280,20,4,2.853571428571429e-05,0.000323,0.0,7.177717610915104e-05,0.000784,0.00035,0.0,5.6e-05,0.0001076508907799,0.000782,0.000345,1e-06,6.015384615384616e-05,0.0001032285337371,4,4,0,0,4,5,0,8,26,0,0,0.9333333333333332,272.0,42340,43440,0,0,0,0,0,0,0,0,4488.0,4.0,1388.0,4.0,144774193.54838708,23525423.72881356,368.8,168.28571428571428,0,15,14,5532,2356,ad_udp,1,ad_udp
