timestamp,packet_length,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,src_port,dst_port,tcp_flags,Label_multi,Label_binary
1752609523.720025,100,0x800,10.0.0.3,10.0.0.5,1,64,27439,DF,84,,,,normal,0
1752609523.720032,100,0x800,10.0.0.3,10.0.0.5,1,64,27439,DF,84,,,,normal,0
1752609523.720043,100,0x800,10.0.0.5,10.0.0.3,1,64,63285,,84,,,,normal,0
1752609523.7200449,100,0x800,10.0.0.5,10.0.0.3,1,64,63285,,84,,,,normal,0
1752609523.721641,100,0x800,10.0.0.5,10.0.0.3,1,64,63286,DF,84,,,,normal,0
1752609523.721646,100,0x800,10.0.0.5,10.0.0.3,1,64,63286,DF,84,,,,normal,0
1752609523.7216551,100,0x800,10.0.0.3,10.0.0.5,1,64,27440,,84,,,,normal,0
1752609523.721656,100,0x800,10.0.0.3,10.0.0.5,1,64,27440,,84,,,,normal,0
1752609524.2756212,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,56335.0,12345.0,S,normal,0
1752609524.275627,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,56335.0,12345.0,S,normal,0
1752609524.275639,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,56335.0,RA,normal,0
1752609524.275641,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,56335.0,RA,normal,0
1752609524.9132302,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,56335.0,SA,normal,0
1752609524.9132369,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,56335.0,SA,normal,0
1752609524.913249,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,56335.0,12345.0,R,normal,0
1752609524.913251,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,56335.0,12345.0,R,normal,0
1752609525.557669,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,56335.0,12345.0,A,normal,0
1752609525.557677,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,56335.0,12345.0,A,normal,0
1752609525.557689,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,56335.0,R,normal,0
1752609525.557691,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,56335.0,R,normal,0
1752609526.183068,1408,0x800,10.0.0.3,10.0.0.5,6,64,1,,1392,56335.0,12345.0,PA,normal,0
1752609526.183075,1408,0x800,10.0.0.3,10.0.0.5,6,64,1,,1392,56335.0,12345.0,PA,normal,0
1752609526.1830869,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,56335.0,R,normal,0
1752609526.183089,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,56335.0,R,normal,0
1752609526.780474,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,56335.0,A,normal,0
1752609526.780481,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,56335.0,A,normal,0
1752609526.780492,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,56335.0,12345.0,R,normal,0
1752609526.780494,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,56335.0,12345.0,R,normal,0
1752609527.4059482,379,0x800,10.0.0.3,10.0.0.5,17,64,1,,363,9973.0,12346.0,,normal,0
1752609527.405956,379,0x800,10.0.0.3,10.0.0.5,17,64,1,,363,9973.0,12346.0,,normal,0
1752609527.405972,407,0x800,10.0.0.5,10.0.0.3,1,64,63998,,391,,,,normal,0
1752609527.405974,407,0x800,10.0.0.5,10.0.0.3,1,64,63998,,391,,,,normal,0
1752609528.048456,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,48272.0,23.0,S,normal,0
1752609528.048464,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,48272.0,23.0,S,normal,0
1752609528.048474,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,48272.0,RA,normal,0
1752609528.048476,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,48272.0,RA,normal,0
1752609528.697026,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,48272.0,SA,normal,0
1752609528.697033,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,48272.0,SA,normal,0
1752609528.6970448,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,48272.0,23.0,R,normal,0
1752609528.697046,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,48272.0,23.0,R,normal,0
1752609529.341738,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,48272.0,23.0,A,normal,0
1752609529.341745,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,48272.0,23.0,A,normal,0
1752609529.341756,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,48272.0,R,normal,0
1752609529.341758,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,48272.0,R,normal,0
1752609529.992396,704,0x800,10.0.0.3,10.0.0.5,6,64,1,,688,48272.0,23.0,PA,normal,0
1752609529.992403,704,0x800,10.0.0.3,10.0.0.5,6,64,1,,688,48272.0,23.0,PA,normal,0
1752609529.992415,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,48272.0,R,normal,0
1752609529.992417,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,48272.0,R,normal,0
1752609530.6155062,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,48272.0,A,normal,0
1752609530.615513,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,48272.0,A,normal,0
1752609530.615525,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,48272.0,23.0,R,normal,0
1752609530.615527,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,48272.0,23.0,R,normal,0
1752609531.241886,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32533.0,22.0,S,normal,0
1752609531.241895,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32533.0,22.0,S,normal,0
1752609531.2419062,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,32533.0,RA,normal,0
1752609531.241908,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,32533.0,RA,normal,0
1752609531.8650382,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,22.0,32533.0,SA,normal,0
1752609531.8650448,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,22.0,32533.0,SA,normal,0
1752609531.865056,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,32533.0,22.0,R,normal,0
1752609531.865057,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,32533.0,22.0,R,normal,0
1752609532.49779,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32533.0,22.0,A,normal,0
1752609532.497798,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32533.0,22.0,A,normal,0
1752609532.4978108,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,32533.0,R,normal,0
