timestamp,packet_length,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,src_port,dst_port,tcp_flags,Label_multi,Label_binary
1752468700.77939,100,0x800,10.0.0.3,10.0.0.5,1,64,32125,DF,84,,,,normal,0
1752468700.779396,100,0x800,10.0.0.3,10.0.0.5,1,64,32125,DF,84,,,,normal,0
1752468700.779406,100,0x800,10.0.0.5,10.0.0.3,1,64,18778,,84,,,,normal,0
1752468700.779407,100,0x800,10.0.0.5,10.0.0.3,1,64,18778,,84,,,,normal,0
1752468700.780781,100,0x800,10.0.0.5,10.0.0.3,1,64,18779,DF,84,,,,normal,0
1752468700.780786,100,0x800,10.0.0.5,10.0.0.3,1,64,18779,DF,84,,,,normal,0
1752468700.780793,100,0x800,10.0.0.3,10.0.0.5,1,64,32126,,84,,,,normal,0
1752468700.7807949,100,0x800,10.0.0.3,10.0.0.5,1,64,32126,,84,,,,normal,0
1752468701.317554,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37145.0,12345.0,S,normal,0
1752468701.317561,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37145.0,12345.0,S,normal,0
1752468701.317572,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,37145.0,RA,normal,0
1752468701.317574,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,37145.0,RA,normal,0
1752468701.955237,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,37145.0,SA,normal,0
1752468701.955245,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,37145.0,SA,normal,0
1752468701.955257,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37145.0,12345.0,R,normal,0
1752468701.955259,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37145.0,12345.0,R,normal,0
1752468702.6027222,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37145.0,12345.0,A,normal,0
1752468702.60273,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37145.0,12345.0,A,normal,0
1752468702.602742,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,37145.0,R,normal,0
1752468702.6027439,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,37145.0,R,normal,0
1752468703.246313,709,0x800,10.0.0.3,10.0.0.5,6,64,1,,693,37145.0,12345.0,PA,normal,0
1752468703.2463212,709,0x800,10.0.0.3,10.0.0.5,6,64,1,,693,37145.0,12345.0,PA,normal,0
1752468703.2463331,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,37145.0,R,normal,0
1752468703.246335,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,37145.0,R,normal,0
1752468703.858282,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,37145.0,A,normal,0
1752468703.858289,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,37145.0,A,normal,0
1752468703.858301,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37145.0,12345.0,R,normal,0
1752468703.8583028,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37145.0,12345.0,R,normal,0
1752468704.487065,550,0x800,10.0.0.3,10.0.0.5,17,64,1,,534,38437.0,12346.0,,normal,0
1752468704.487072,550,0x800,10.0.0.3,10.0.0.5,17,64,1,,534,38437.0,12346.0,,normal,0
1752468704.4870882,578,0x800,10.0.0.5,10.0.0.3,1,64,19144,,562,,,,normal,0
1752468704.48709,578,0x800,10.0.0.5,10.0.0.3,1,64,19144,,562,,,,normal,0
1752468705.120908,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37823.0,23.0,S,normal,0
1752468705.120917,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37823.0,23.0,S,normal,0
1752468705.120929,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,37823.0,RA,normal,0
1752468705.1209311,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,37823.0,RA,normal,0
1752468705.761595,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,37823.0,SA,normal,0
1752468705.7616029,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,37823.0,SA,normal,0
1752468705.761614,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37823.0,23.0,R,normal,0
1752468705.761616,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37823.0,23.0,R,normal,0
1752468706.400735,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37823.0,23.0,A,normal,0
1752468706.400742,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37823.0,23.0,A,normal,0
1752468706.400753,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,37823.0,R,normal,0
1752468706.4007552,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,37823.0,R,normal,0
1752468707.0373518,322,0x800,10.0.0.3,10.0.0.5,6,64,1,,306,37823.0,23.0,PA,normal,0
1752468707.03736,322,0x800,10.0.0.3,10.0.0.5,6,64,1,,306,37823.0,23.0,PA,normal,0
1752468707.03737,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,37823.0,R,normal,0
1752468707.037373,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,37823.0,R,normal,0
1752468707.666363,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,37823.0,A,normal,0
1752468707.666371,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,37823.0,A,normal,0
1752468707.666383,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37823.0,23.0,R,normal,0
1752468707.666385,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37823.0,23.0,R,normal,0
1752468708.288516,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37667.0,22.0,S,normal,0
1752468708.288525,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37667.0,22.0,S,normal,0
1752468708.288537,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,37667.0,RA,normal,0
1752468708.2885392,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,37667.0,RA,normal,0
1752468708.953432,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,22.0,37667.0,SA,normal,0
1752468708.953439,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,22.0,37667.0,SA,normal,0
1752468708.95345,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37667.0,22.0,R,normal,0
1752468708.9534519,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37667.0,22.0,R,normal,0
1752468709.624488,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37667.0,22.0,A,normal,0
1752468709.624495,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,37667.0,22.0,A,normal,0
1752468709.624506,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,37667.0,R,normal,0
1752468709.624508,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,37667.0,R,normal,0
1752468710.2960482,553,0x800,10.0.0.3,10.0.0.5,6,64,1,,537,37667.0,22.0,PA,normal,0
1752468710.296056,553,0x800,10.0.0.3,10.0.0.5,6,64,1,,537,37667.0,22.0,PA,normal,0
1752468710.296068,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,37667.0,R,normal,0
1752468710.2960699,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,37667.0,R,normal,0
1752468710.970055,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,22.0,37667.0,A,normal,0
1752468710.970062,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,22.0,37667.0,A,normal,0
1752468710.970072,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37667.0,22.0,R,normal,0
1752468710.970074,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,37667.0,22.0,R,normal,0
1752468711.606152,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32393.0,21.0,S,normal,0
1752468711.60616,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32393.0,21.0,S,normal,0
1752468711.606172,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,21.0,32393.0,RA,normal,0
1752468711.606174,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,21.0,32393.0,RA,normal,0
1752468712.277406,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,21.0,32393.0,SA,normal,0
1752468712.277414,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,21.0,32393.0,SA,normal,0
1752468712.277425,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,32393.0,21.0,R,normal,0
1752468712.277426,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,32393.0,21.0,R,normal,0
1752468712.971854,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32393.0,21.0,A,normal,0
1752468712.971861,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,32393.0,21.0,A,normal,0
1752468712.9718711,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,21.0,32393.0,R,normal,0
1752468712.971873,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,21.0,32393.0,R,normal,0
1752468713.621836,1473,0x800,10.0.0.3,10.0.0.5,6,64,1,,1457,32393.0,21.0,PA,normal,0
1752468713.621844,1473,0x800,10.0.0.3,10.0.0.5,6,64,1,,1457,32393.0,21.0,PA,normal,0
1752468713.621856,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,21.0,32393.0,R,normal,0
1752468713.6218581,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,21.0,32393.0,R,normal,0
1752468714.248648,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,21.0,32393.0,A,normal,0
1752468714.248655,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,21.0,32393.0,A,normal,0
1752468714.248666,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,32393.0,21.0,R,normal,0
1752468714.248669,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,32393.0,21.0,R,normal,0
1752468714.89383,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,42096.0,80.0,S,normal,0
1752468714.8938382,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,42096.0,80.0,S,normal,0
1752468714.893848,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,80.0,42096.0,RA,normal,0
1752468714.89385,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,80.0,42096.0,RA,normal,0
1752468715.554694,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,80.0,42096.0,SA,normal,0
1752468715.554701,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,80.0,42096.0,SA,normal,0
1752468715.5547109,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,42096.0,80.0,R,normal,0
1752468715.554713,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,42096.0,80.0,R,normal,0
1752468716.199952,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,42096.0,80.0,A,normal,0
1752468716.199959,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,42096.0,80.0,A,normal,0
1752468716.1999712,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,80.0,42096.0,R,normal,0
1752468716.199973,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,80.0,42096.0,R,normal,0
1752468716.8461552,461,0x800,10.0.0.3,10.0.0.5,6,64,1,,445,42096.0,80.0,PA,normal,0
1752468716.8461618,461,0x800,10.0.0.3,10.0.0.5,6,64,1,,445,42096.0,80.0,PA,normal,0
1752468716.846175,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,80.0,42096.0,R,normal,0
1752468716.8461769,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,80.0,42096.0,R,normal,0
1752468717.47883,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,80.0,80.0,A,normal,0
1752468717.4788358,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,80.0,80.0,A,normal,0
1752468717.478849,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,80.0,80.0,R,normal,0
