timestamp,packet_length,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,src_port,dst_port,tcp_flags,Label_multi,Label_binary
1752427419.881767,100,0x800,10.0.0.3,10.0.0.5,1,64,55264,DF,84,,,,normal,0
1752427419.881772,100,0x800,10.0.0.3,10.0.0.5,1,64,55264,DF,84,,,,normal,0
1752427419.881783,100,0x800,10.0.0.5,10.0.0.3,1,64,1605,,84,,,,normal,0
1752427419.881785,100,0x800,10.0.0.5,10.0.0.3,1,64,1605,,84,,,,normal,0
1752427419.883319,100,0x800,10.0.0.5,10.0.0.3,1,64,1606,DF,84,,,,normal,0
1752427419.883324,100,0x800,10.0.0.5,10.0.0.3,1,64,1606,DF,84,,,,normal,0
1752427419.883332,100,0x800,10.0.0.3,10.0.0.5,1,64,55265,,84,,,,normal,0
1752427419.883334,100,0x800,10.0.0.3,10.0.0.5,1,64,55265,,84,,,,normal,0
1752427420.424145,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,2571.0,12345.0,S,normal,0
1752427420.424152,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,2571.0,12345.0,S,normal,0
1752427420.424164,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,2571.0,RA,normal,0
1752427420.424166,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,2571.0,RA,normal,0
1752427421.120717,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,2571.0,SA,normal,0
1752427421.120723,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,2571.0,SA,normal,0
1752427421.120733,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,2571.0,12345.0,R,normal,0
1752427421.120735,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,2571.0,12345.0,R,normal,0
1752427421.80035,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,2571.0,12345.0,A,normal,0
1752427421.800358,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,2571.0,12345.0,A,normal,0
1752427421.80037,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,2571.0,R,normal,0
1752427421.8003721,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,2571.0,R,normal,0
1752427422.470825,655,0x800,10.0.0.3,10.0.0.5,6,64,1,,639,2571.0,12345.0,PA,normal,0
1752427422.470832,655,0x800,10.0.0.3,10.0.0.5,6,64,1,,639,2571.0,12345.0,PA,normal,0
1752427422.470843,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,2571.0,R,normal,0
1752427422.470845,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,2571.0,R,normal,0
1752427423.086198,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,2571.0,A,normal,0
1752427423.086206,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,2571.0,A,normal,0
1752427423.0862179,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,2571.0,12345.0,R,normal,0
1752427423.08622,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,2571.0,12345.0,R,normal,0
1752427423.730453,1224,0x800,10.0.0.3,10.0.0.5,17,64,1,,1208,9857.0,12346.0,,normal,0
1752427423.730461,1224,0x800,10.0.0.3,10.0.0.5,17,64,1,,1208,9857.0,12346.0,,normal,0
