timestamp,packet_length,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,src_port,dst_port,tcp_flags,Label_multi,Label_binary
1752927283.326934,100,0x800,10.0.0.3,10.0.0.5,1,64,14005,DF,84,,,,normal,0
1752927283.32694,100,0x800,10.0.0.3,10.0.0.5,1,64,14005,DF,84,,,,normal,0
1752927283.32695,100,0x800,10.0.0.5,10.0.0.3,1,64,47788,,84,,,,normal,0
1752927283.326952,100,0x800,10.0.0.5,10.0.0.3,1,64,47788,,84,,,,normal,0
1752927283.328245,100,0x800,10.0.0.5,10.0.0.3,1,64,47789,DF,84,,,,normal,0
1752927283.328249,100,0x800,10.0.0.5,10.0.0.3,1,64,47789,DF,84,,,,normal,0
1752927283.328257,100,0x800,10.0.0.3,10.0.0.5,1,64,14006,,84,,,,normal,0
1752927283.328258,100,0x800,10.0.0.3,10.0.0.5,1,64,14006,,84,,,,normal,0
1752927283.895019,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,21833.0,12345.0,S,normal,0
1752927283.895026,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,21833.0,12345.0,S,normal,0
1752927283.895038,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,21833.0,RA,normal,0
1752927283.89504,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,21833.0,RA,normal,0
1752927284.55358,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,21833.0,SA,normal,0
1752927284.553587,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,21833.0,SA,normal,0
1752927284.5535982,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,21833.0,12345.0,R,normal,0
1752927284.553601,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,21833.0,12345.0,R,normal,0
1752927285.252594,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,21833.0,12345.0,A,normal,0
1752927285.252602,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,21833.0,12345.0,A,normal,0
1752927285.252616,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,21833.0,R,normal,0
1752927285.252618,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,21833.0,R,normal,0
1752927285.939002,972,0x800,10.0.0.3,10.0.0.5,6,64,1,,956,21833.0,12345.0,PA,normal,0
1752927285.93901,972,0x800,10.0.0.3,10.0.0.5,6,64,1,,956,21833.0,12345.0,PA,normal,0
1752927285.939021,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,21833.0,R,normal,0
1752927285.939023,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,12345.0,21833.0,R,normal,0
1752927286.606386,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,21833.0,A,normal,0
1752927286.606394,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,12345.0,21833.0,A,normal,0
1752927286.606405,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,21833.0,12345.0,R,normal,0
1752927286.606408,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,21833.0,12345.0,R,normal,0
1752927287.239327,828,0x800,10.0.0.3,10.0.0.5,17,64,1,,812,23553.0,12346.0,,normal,0
1752927287.239335,828,0x800,10.0.0.3,10.0.0.5,17,64,1,,812,23553.0,12346.0,,normal,0
1752927287.239351,592,0x800,10.0.0.5,10.0.0.3,1,64,48195,,576,,,,normal,0
1752927287.239353,592,0x800,10.0.0.5,10.0.0.3,1,64,48195,,576,,,,normal,0
1752927287.899567,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,47825.0,23.0,S,normal,0
1752927287.899575,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,47825.0,23.0,S,normal,0
1752927287.899589,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,47825.0,RA,normal,0
1752927287.899591,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,47825.0,RA,normal,0
1752927288.5962038,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,47825.0,SA,normal,0
1752927288.596213,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,47825.0,SA,normal,0
1752927288.596225,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,47825.0,23.0,R,normal,0
1752927288.596228,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,47825.0,23.0,R,normal,0
1752927289.273241,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,47825.0,23.0,A,normal,0
1752927289.273249,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,47825.0,23.0,A,normal,0
1752927289.273262,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,47825.0,R,normal,0
1752927289.2732642,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,47825.0,R,normal,0
1752927289.929363,793,0x800,10.0.0.3,10.0.0.5,6,64,1,,777,47825.0,23.0,PA,normal,0
1752927289.929371,793,0x800,10.0.0.3,10.0.0.5,6,64,1,,777,47825.0,23.0,PA,normal,0
1752927289.929385,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,47825.0,R,normal,0
1752927289.9293869,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,23.0,47825.0,R,normal,0
1752927290.607874,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,47825.0,A,normal,0
1752927290.607883,56,0x800,10.0.0.5,10.0.0.3,6,64,1,,40,23.0,47825.0,A,normal,0
1752927290.607894,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,47825.0,23.0,R,normal,0
1752927290.607897,56,0x800,10.0.0.3,10.0.0.5,6,64,0,DF,40,47825.0,23.0,R,normal,0
1752927291.237716,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,9873.0,22.0,S,normal,0
1752927291.237725,56,0x800,10.0.0.3,10.0.0.5,6,64,1,,40,9873.0,22.0,S,normal,0
1752927291.237737,56,0x800,10.0.0.5,10.0.0.3,6,64,0,DF,40,22.0,9873.0,RA,normal,0
