src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label_multi,Label_binary,Attack_Type
192.168.10.10,192.168.30.10,52122,80,6,2025-09-12 17:31:17,0.001283,2656274.3569758376,19485.58067030397,10132.501948558069,9353.078721745907,13,12,1270,2138,249,68,97.6923076923077,64.60100572613712,537,68,178.16666666666666,173.7147246365591,537,68,136.32,135.1718077115195,18271.4176,260,240,20,2,5.345833333333333e-05,0.000555,0.0,0.0001360765652021,0.0012649999999999,0.000609,0.0,0.0001054166666666,0.0001996590670506,0.001243,0.000555,1e-06,0.000113,0.0001909321631079,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,136.32,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,16743589.743589744,97.6923076923077,178.16666666666666,0,13,12,1270,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52124,80,6,2025-09-12 17:31:17,0.001053,3272554.60588794,23741.69040835708,12345.67901234568,11396.011396011398,13,12,1308,2138,268,68,100.6153846153846,71.44824750129227,537,68,178.16666666666666,173.7147246365591,537,68,137.84,136.53034241515692,18640.5344,260,240,20,2,4.3875e-05,0.000486,0.0,0.0001137260276937,0.001037,0.000533,0.0,8.641666666666666e-05,0.0001675452467908,0.001031,0.000486,2e-06,9.372727272727272e-05,0.0001593395978343,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,137.84,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,18927536.231884055,100.6153846153846,178.16666666666666,0,13,12,1308,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52126,80,6,2025-09-12 17:31:17,0.000961,3631633.714880333,26014.56815816857,13527.575442247658,12486.992715920916,13,12,1352,2138,290,68,104.0,79.37835395700189,537,68,178.16666666666666,173.7147246365591,537,68,139.6,138.3268592862572,19134.32,260,240,20,2,4.0041666666666666e-05,0.000403,0.0,9.9898898545257e-05,0.000945,0.000449,0.0,7.875000000000002e-05,0.000148211068525,0.000938,0.000403,2e-06,8.527272727272728e-05,0.0001406524348812,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.6,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,19787878.78787879,104.0,178.16666666666666,0,13,12,1352,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52140,80,6,2025-09-12 17:31:17,0.000819,4161172.161172161,30525.03052503053,15873.015873015876,14652.014652014654,13,12,1270,2138,249,68,97.6923076923077,64.60100572613712,537,68,178.16666666666666,173.7147246365591,537,68,136.32,135.1718077115195,18271.4176,260,240,20,2,3.4125e-05,0.000302,0.0,8.074461411347096e-05,0.000804,0.000345,0.0,6.699999999999999e-05,0.0001203591846654,0.000802,0.000317,2e-06,7.290909090909091e-05,0.0001142846959812,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,136.32,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,21409836.065573767,97.6923076923077,178.16666666666666,0,13,12,1270,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52146,80,6,2025-09-12 17:31:17,0.000747,11004016.064257028,38821.954484605085,20080.32128514056,18741.63319946452,15,14,5864,2356,2209,68,390.9333333333333,718.720480359986,565,68,168.28571428571428,175.45102229536823,2209,68,283.4482758620689,542.6092507954058,294424.7990487516,300,280,20,4,2.6678571428571437e-05,0.000291,0.0,6.416221271758267e-05,0.000732,0.000317,0.0,5.228571428571429e-05,9.703933559676317e-05,0.000729,0.000313,2e-06,5.607692307692308e-05,9.273242030243754e-05,4,4,0,0,4,5,0,8,26,0,0,0.9333333333333332,283.4482758620689,42340,43440,0,0,0,0,0,0,0,0,4820.0,4.0,1388.0,4.0,155483870.9677419,23525423.72881356,390.9333333333333,168.28571428571428,0,15,14,5864,2356,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52154,80,6,2025-09-12 17:31:18,0.000859,3962747.380675204,29103.608847497093,15133.876600698488,13969.732246798603,13,12,1266,2138,247,68,97.3846153846154,63.88034302390738,537,68,178.16666666666666,173.7147246365591,537,68,136.16,135.03945497520343,18235.654400000003,260,240,20,2,3.579166666666667e-05,0.000343,0.0,8.727875799541502e-05,0.000844,0.000371,0.0,7.033333333333334e-05,0.0001296240289795,0.000839,0.000366,2e-06,7.627272727272729e-05,0.0001240389168469,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,136.16,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20730158.730158728,97.3846153846154,178.16666666666666,0,13,12,1266,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52160,80,6,2025-09-12 17:31:18,0.000846,4078014.1843971633,29550.82742316785,15366.430260047282,14184.397163120568,13,12,1312,2138,270,68,100.92307692307692,72.1690979452068,537,68,178.16666666666666,173.7147246365591,537,68,138.0,136.68386883608468,18682.48,260,240,20,2,3.525e-05,0.000334,0.0,8.53401283101918e-05,0.00083,0.000361,0.0,6.916666666666666e-05,0.0001268173445901,0.000826,0.000356,2e-06,7.509090909090908e-05,0.0001210390279248,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.0,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20730158.730158728,100.92307692307692,178.16666666666666,0,13,12,1312,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52164,80,6,2025-09-12 17:31:18,0.000773,4517464.424320828,32341.526520051742,16817.59379042691,15523.932729624838,13,12,1354,2138,291,68,104.15384615384616,79.73884889856788,537,68,178.16666666666666,173.7147246365591,537,68,139.68,138.4140802086262,19158.4576,260,240,20,2,3.2208333333333335e-05,0.000293,0.0,7.693719254835221e-05,0.000759,0.00032,0.0,6.325e-05,0.0001152599417259,0.000755,0.000314,2e-06,6.863636363636364e-05,0.0001092231017249,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.68,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,22135593.220338985,104.15384615384616,178.16666666666666,0,13,12,1354,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52166,80,6,2025-09-12 17:31:18,0.000746,4680965.147453083,33512.06434316354,17426.27345844504,16085.790884718495,13,12,1354,2138,291,68,104.15384615384616,79.73884889856788,537,68,178.16666666666666,173.7147246365591,537,68,139.68,138.4140802086262,19158.4576,260,240,20,2,3.108333333333333e-05,0.000285,0.0,7.388105117161113e-05,0.000732,0.00031,0.0,6.1e-05,0.0001109218944422,0.000729,0.000306,1e-06,6.627272727272728e-05,0.0001050957060874,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.68,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,22135593.220338985,104.15384615384616,178.16666666666666,0,13,12,1354,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,52172,80,6,2025-09-12 17:31:18,0.000789,4032953.1051964513,26615.96958174905,13941.69835234474,12674.271229404309,11,10,1180,2002,272,68,107.27272727272728,77.72807017134791,537,68,200.2,182.4811223113229,537,68,151.52380952380952,145.5179972661274,21175.487528344664,220,200,20,2,3.945e-05,0.000352,0.0,8.682596097942136e-05,0.000775,0.000352,0.0,7.75e-05,0.0001248056489106,0.000771,0.000397,2e-06,8.566666666666667e-05,0.0001302962436569,2,4,0,0,4,5,0,6,18,0,0,0.9090909090909092,151.52380952380952,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,35297297.2972973,107.27272727272728,200.2,0,11,10,1180,2002,ad_udp,1,ad_udp
