timestamp,packet_length,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,src_port,dst_port,tcp_flags,Label_multi,Label_binary
1752154426.172266,100,0x800,10.0.0.3,10.0.0.5,1,64,15777,DF,84,,,,normal,0
1752154426.172275,100,0x800,10.0.0.3,10.0.0.5,1,64,15777,DF,84,,,,normal,0
1752154426.172284,100,0x800,10.0.0.5,10.0.0.3,1,64,44052,,84,,,,normal,0
1752154426.172287,100,0x800,10.0.0.5,10.0.0.3,1,64,44052,,84,,,,normal,0
1752154426.173643,100,0x800,10.0.0.5,10.0.0.3,1,64,44053,DF,84,,,,normal,0
1752154426.173650,100,0x800,10.0.0.5,10.0.0.3,1,64,44053,DF,84,,,,normal,0
1752154426.173658,100,0x800,10.0.0.3,10.0.0.5,1,64,15778,,84,,,,normal,0
1752154426.173660,100,0x800,10.0.0.3,10.0.0.5,1,64,15778,,84,,,,normal,0
1752154427.763181,100,0x800,10.0.0.3,10.0.0.5,1,64,15828,DF,84,,,,normal,0
1752154427.763192,100,0x800,10.0.0.3,10.0.0.5,1,64,15828,DF,84,,,,normal,0
1752154427.763201,100,0x800,10.0.0.5,10.0.0.3,1,64,44369,,84,,,,normal,0
1752154427.763203,100,0x800,10.0.0.5,10.0.0.3,1,64,44369,,84,,,,normal,0
1752154427.764557,100,0x800,10.0.0.5,10.0.0.3,1,64,44370,DF,84,,,,normal,0
1752154427.764563,100,0x800,10.0.0.5,10.0.0.3,1,64,44370,DF,84,,,,normal,0
1752154427.764571,100,0x800,10.0.0.3,10.0.0.5,1,64,15829,,84,,,,normal,0
1752154427.764572,100,0x800,10.0.0.3,10.0.0.5,1,64,15829,,84,,,,normal,0
1752154429.353383,100,0x800,10.0.0.3,10.0.0.5,1,64,16083,DF,84,,,,normal,0
1752154429.353392,100,0x800,10.0.0.3,10.0.0.5,1,64,16083,DF,84,,,,normal,0
1752154429.353402,100,0x800,10.0.0.5,10.0.0.3,1,64,44564,,84,,,,normal,0
1752154429.353405,100,0x800,10.0.0.5,10.0.0.3,1,64,44564,,84,,,,normal,0
1752154429.354720,100,0x800,10.0.0.5,10.0.0.3,1,64,44565,DF,84,,,,normal,0
1752154429.354727,100,0x800,10.0.0.5,10.0.0.3,1,64,44565,DF,84,,,,normal,0
1752154429.354733,100,0x800,10.0.0.3,10.0.0.5,1,64,16084,,84,,,,normal,0
1752154429.354735,100,0x800,10.0.0.3,10.0.0.5,1,64,16084,,84,,,,normal,0
1752154430.944906,100,0x800,10.0.0.3,10.0.0.5,1,64,16463,DF,84,,,,normal,0
1752154430.944924,100,0x800,10.0.0.3,10.0.0.5,1,64,16463,DF,84,,,,normal,0
1752154430.944934,100,0x800,10.0.0.5,10.0.0.3,1,64,44892,,84,,,,normal,0
1752154430.944937,100,0x800,10.0.0.5,10.0.0.3,1,64,44892,,84,,,,normal,0
1752154430.946293,100,0x800,10.0.0.5,10.0.0.3,1,64,44893,DF,84,,,,normal,0
1752154430.946300,100,0x800,10.0.0.5,10.0.0.3,1,64,44893,DF,84,,,,normal,0
1752154430.946308,100,0x800,10.0.0.3,10.0.0.5,1,64,16464,,84,,,,normal,0
