timestamp,packet_length,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,src_port,dst_port,tcp_flags,Label_multi,Label_binary
1752209193.2278779,100,0x800,10.0.0.3,10.0.0.5,1,64,62500,DF,84,,,,normal,0
1752209193.227884,100,0x800,10.0.0.3,10.0.0.5,1,64,62500,DF,84,,,,normal,0
1752209193.227895,100,0x800,10.0.0.5,10.0.0.3,1,64,42773,,84,,,,normal,0
1752209193.227896,100,0x800,10.0.0.5,10.0.0.3,1,64,42773,,84,,,,normal,0
1752209193.229316,100,0x800,10.0.0.5,10.0.0.3,1,64,42774,DF,84,,,,normal,0
1752209193.2293198,100,0x800,10.0.0.5,10.0.0.3,1,64,42774,DF,84,,,,normal,0
1752209193.229327,100,0x800,10.0.0.3,10.0.0.5,1,64,62501,,84,,,,normal,0
1752209193.229328,100,0x800,10.0.0.3,10.0.0.5,1,64,62501,,84,,,,normal,0
1752209194.80512,100,0x800,10.0.0.3,10.0.0.5,1,64,62745,DF,84,,,,normal,0
1752209194.8051279,100,0x800,10.0.0.3,10.0.0.5,1,64,62745,DF,84,,,,normal,0
1752209194.805138,100,0x800,10.0.0.5,10.0.0.3,1,64,43066,,84,,,,normal,0
1752209194.80514,100,0x800,10.0.0.5,10.0.0.3,1,64,43066,,84,,,,normal,0
1752209194.8067029,100,0x800,10.0.0.5,10.0.0.3,1,64,43067,DF,84,,,,normal,0
1752209194.806708,100,0x800,10.0.0.5,10.0.0.3,1,64,43067,DF,84,,,,normal,0
1752209194.806716,100,0x800,10.0.0.3,10.0.0.5,1,64,62746,,84,,,,normal,0
1752209194.806717,100,0x800,10.0.0.3,10.0.0.5,1,64,62746,,84,,,,normal,0
1752209196.3859491,100,0x800,10.0.0.3,10.0.0.5,1,64,62809,DF,84,,,,normal,0
1752209196.385957,100,0x800,10.0.0.3,10.0.0.5,1,64,62809,DF,84,,,,normal,0
1752209196.385967,100,0x800,10.0.0.5,10.0.0.3,1,64,43166,,84,,,,normal,0
1752209196.385969,100,0x800,10.0.0.5,10.0.0.3,1,64,43166,,84,,,,normal,0
1752209196.387831,100,0x800,10.0.0.5,10.0.0.3,1,64,43167,DF,84,,,,normal,0
1752209196.387836,100,0x800,10.0.0.5,10.0.0.3,1,64,43167,DF,84,,,,normal,0
1752209196.3878438,100,0x800,10.0.0.3,10.0.0.5,1,64,62810,,84,,,,normal,0
1752209196.387845,100,0x800,10.0.0.3,10.0.0.5,1,64,62810,,84,,,,normal,0
1752209197.964429,100,0x800,10.0.0.3,10.0.0.5,1,64,63008,DF,84,,,,normal,0
1752209197.9644392,100,0x800,10.0.0.3,10.0.0.5,1,64,63008,DF,84,,,,normal,0
1752209197.964451,100,0x800,10.0.0.5,10.0.0.3,1,64,43435,,84,,,,normal,0
1752209197.964453,100,0x800,10.0.0.5,10.0.0.3,1,64,43435,,84,,,,normal,0
1752209197.966311,100,0x800,10.0.0.5,10.0.0.3,1,64,43436,DF,84,,,,normal,0
1752209197.966316,100,0x800,10.0.0.5,10.0.0.3,1,64,43436,DF,84,,,,normal,0
1752209197.966324,100,0x800,10.0.0.3,10.0.0.5,1,64,63009,,84,,,,normal,0
1752209197.966325,100,0x800,10.0.0.3,10.0.0.5,1,64,63009,,84,,,,normal,0
1752209204.1346061,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.134691,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.1347039,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.134779,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.148799,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.148804,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.1488118,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.148814,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.16289,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.162894,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.1629019,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.1629028,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.176952,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.176956,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.176963,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.176965,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.191041,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.191046,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.191052,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.191053,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.205036,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.20504,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.2050462,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.2050471,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.219112,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.219116,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.2191222,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.2191231,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.2332618,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.233267,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.233274,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.233276,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.247352,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.2473571,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.247365,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.247366,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.261367,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.261372,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.261379,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.2613802,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.27545,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.2754538,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.275461,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.275462,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.289513,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.289517,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.289524,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.289525,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.303577,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.303581,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.303587,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.303589,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.31759,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.3175929,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.317599,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.317601,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.331742,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.331746,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.331752,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.331753,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.34587,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.345875,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
1752209204.345882,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.345883,56,0x800,10.0.0.6,10.0.0.1,6,64,0,DF,40,80.0,20.0,RA,syn_flood,1
1752209204.3598518,56,0x800,10.0.0.1,10.0.0.6,6,64,1,,40,20.0,80.0,S,syn_flood,1
